"Tipografía","Proveedor","URL","Licencia"
"Helvetica","DuckDuckGo","https://fontsarena.com/helvetica/","Desconocida"
"Univers","DuckDuckGo","https://www.deefont.com/univers-font-family/","Desconocida"
"Times New Roman","DuckDuckGo","https://fonts.adobe.com/fonts/times-new-roman","Desconocida"
"Zapf Chancery","DuckDuckGo","https://fontsgeek.com/zapf-chancery-font","Desconocida"
"Akzidenz Grotesk","DuckDuckGo","https://fontforfree.com/akzidenz-grotesk-font-family/","Desconocida"
"Franklin Gothic","DuckDuckGo","https://fonts.adobe.com/fonts/atf-franklin-gothic","Desconocida"
"Stencil","DuckDuckGo","https://www.dafont.com/theme.php?cat=114","Desconocida"
"Courier","DuckDuckGo","https://fonts.adobe.com/fonts/courier","Desconocida"
