"Tipografía","Proveedor","URL","Licencia"
"Palatino","GitHub","https://github.com/oxomoto/Unoverso-Libre","Open Source (según repo)"
"Trade Gothic","DuckDuckGo","https://www.dafontfree.io/trade-gothic-font/","Desconocida"
"Mistral","DuckDuckGo","https://freefonts.co/fonts/mistral-regular","Desconocida"
"Banco","DuckDuckGo","https://www.ffonts.net/Banco.font.download","Desconocida"
"Fairfield","DuckDuckGo","https://en.wikipedia.org/wiki/Fairfield_(typeface)","Desconocida"
"Egyptienne","DuckDuckGo","https://www.dafont.com/fetteegyptienne.font","Desconocida"
"Optima","DuckDuckGo","https://www.cufonfonts.com/font/optima","Desconocida"
"Helvetica","DuckDuckGo","https://fontsarena.com/helvetica/","Desconocida"
