"Tipografía","Proveedor","URL","Licencia"
"Futura","DuckDuckGo","https://fonts.adobe.com/fonts/futura-pt","Desconocida"
"Gill Sans","DuckDuckGo","https://fontforfree.com/gill-sans-font-family/","Desconocida"
"Kabel","DuckDuckGo","https://www.fontspace.com/kabel-font-f178","Desconocida"
"Broadway","DuckDuckGo","https://fontsgeek.com/fonts/Broadway-Regular","Desconocida"
"Stencil","DuckDuckGo","https://www.dafont.com/theme.php?cat=114","Desconocida"
"Brush Script","DuckDuckGo","https://fontmeme.com/fonts/brush-script-font/","Desconocida"
"Times New Roman","DuckDuckGo","https://fonts.adobe.com/fonts/times-new-roman","Desconocida"
"Didot","DuckDuckGo","https://fonts.google.com/specimen/GFS+Didot","Desconocida"
"Bodoni","DuckDuckGo","https://fonts.google.com/specimen/Bodoni+Moda","Desconocida"
