nombre_original,nombre_final,carpeta,pais,decada,ruta_relativa,ruta_absoluta
afiche_propaganda_comunista_chile_019.jpg,afiche_propaganda_comunista_chile_019.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_019.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_019.jpg
afiche_propaganda_comunista_chile_020.jpg,afiche_propaganda_comunista_chile_020.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_020.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_020.jpg
afiche_propaganda_comunista_chile_021.jpg,afiche_propaganda_comunista_chile_021.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_021.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_021.jpg
afiche_propaganda_comunista_chile_022.jpg,afiche_propaganda_comunista_chile_022.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_022.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_022.jpg
afiche_propaganda_comunista_chile_023.jpg,afiche_propaganda_comunista_chile_023.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_023.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_023.jpg
afiche_propaganda_comunista_chile_024.jpg,afiche_propaganda_comunista_chile_024.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_024.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_024.jpg
afiche_propaganda_comunista_chile_025.jpg,afiche_propaganda_comunista_chile_025.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_025.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_025.jpg
afiche_propaganda_comunista_chile_026.jpg,afiche_propaganda_comunista_chile_026.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_026.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_026.jpg
afiche_propaganda_comunista_chile_027.jpg,afiche_propaganda_comunista_chile_027.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_027.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_027.jpg
afiche_propaganda_comunista_chile_028.jpg,afiche_propaganda_comunista_chile_028.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_028.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_028.jpg
afiche_propaganda_comunista_chile_029.jpg,afiche_propaganda_comunista_chile_029.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_029.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_029.jpg
afiche_propaganda_comunista_chile_030.jpg,afiche_propaganda_comunista_chile_030.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_030.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_030.jpg
afiche_propaganda_comunista_chile_031.jpg,afiche_propaganda_comunista_chile_031.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_031.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_031.jpg
afiche_propaganda_comunista_chile_032.jpg,afiche_propaganda_comunista_chile_032.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_032.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_032.jpg
afiche_propaganda_comunista_chile_033.jpg,afiche_propaganda_comunista_chile_033.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_033.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_033.jpg
afiche_propaganda_comunista_chile_034.jpg,afiche_propaganda_comunista_chile_034.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_034.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_034.jpg
afiche_propaganda_comunista_chile_035.jpg,afiche_propaganda_comunista_chile_035.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_035.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_035.jpg
afiche_propaganda_comunista_chile_036.jpg,afiche_propaganda_comunista_chile_036.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_036.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_036.jpg
afiche_propaganda_comunista_chile_037.jpg,afiche_propaganda_comunista_chile_037.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_037.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_037.jpg
afiche_propaganda_comunista_chile_038.jpg,afiche_propaganda_comunista_chile_038.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_038.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_038.jpg
afiche_propaganda_comunista_chile_039.jpg,afiche_propaganda_comunista_chile_039.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_039.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_039.jpg
afiche_propaganda_comunista_chile_040.jpg,afiche_propaganda_comunista_chile_040.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_040.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_040.jpg
afiche_propaganda_comunista_chile_041.jpg,afiche_propaganda_comunista_chile_041.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_041.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_041.jpg
afiche_propaganda_comunista_chile_042.jpg,afiche_propaganda_comunista_chile_042.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_042.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_042.jpg
afiche_propaganda_comunista_chile_043.jpg,afiche_propaganda_comunista_chile_043.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_043.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_043.jpg
afiche_propaganda_comunista_chile_044.jpg,afiche_propaganda_comunista_chile_044.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_044.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_044.jpg
afiche_propaganda_comunista_chile_045.jpg,afiche_propaganda_comunista_chile_045.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_045.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_045.jpg
afiche_propaganda_comunista_chile_046.jpg,afiche_propaganda_comunista_chile_046.jpg,propaganda_comunista_chile,Chile,,../poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_046.jpg,/Users/matpoto/github/matbutom/typo-grafica-propagandistica/poster_dataset/propaganda_comunista_chile/afiche_propaganda_comunista_chile_046.jpg
