"Tipografía","Proveedor","URL","Licencia"
"Trajan","DuckDuckGo","https://fonts.adobe.com/fonts/trajan","Desconocida"
"Comic Sans","DuckDuckGo","https://www.fontspace.com/category/comic-sans","Desconocida"
"Verdana","DuckDuckGo","https://en.wikipedia.org/wiki/Verdana","Desconocida"
"Georgia","DuckDuckGo","https://fonts.adobe.com/fonts/georgia","Desconocida"
"Century Gothic","DuckDuckGo","https://fontforfree.com/century-gothic-font-family/","Desconocida"
"Template Gothic","DuckDuckGo","https://fonts.adobe.com/fonts/template-gothic","Desconocida"
"FF Blur","DuckDuckGo","https://www.myfonts.com/collections/ff-blur-font-fontfont","Desconocida"
"Emigre Matrix","DuckDuckGo","https://www.emigre.com/Fonts/Matrix-II","Desconocida"
"Times New Roman","GitHub","https://github.com/scriptwide-fonts/phrygia-font","Open Source (según repo)"
"Arial","DuckDuckGo","https://fonts.adobe.com/fonts/arial","Desconocida"
