"Tipografía","Proveedor","URL","Licencia"
"Helvetica","DuckDuckGo","https://fontsarena.com/helvetica/","Desconocida"
"Univers","DuckDuckGo","https://www.deefont.com/univers-font-family/","Desconocida"
"Compacta","DuckDuckGo","https://www.dafontfree.io/compacta-font/","Desconocida"
"Kabel Heavy","DuckDuckGo","https://fonts2u.com/kabel-heavy.font","Desconocida"
"Avant Garde","DuckDuckGo","https://dafontfamily.com/avant-garde-font/","Desconocida"
"Bookman","DuckDuckGo","https://fonts.adobe.com/fonts/bookman-jf","Desconocida"
"Cooper Black","GitHub","https://github.com/eliheuer/preschool","Open Source (según repo)"
"Arnold Böcklin","DuckDuckGo","https://en.wikipedia.org/wiki/Arnold_Böcklin_(typeface)","Desconocida"
