"Tipografía","Proveedor","URL","Licencia"
"Helvetica","DuckDuckGo","https://www.dafontfree.io/helvetica-font-free/","Desconocida"
"Univers","DuckDuckGo","https://www.deefont.com/univers-font-family/","Desconocida"
"Arial","DuckDuckGo","https://fonts.adobe.com/fonts/arial","Desconocida"
"Impact","DuckDuckGo","https://en.wikipedia.org/wiki/Impact_(typeface)","Desconocida"
"ITC Franklin Gothic","DuckDuckGo","https://fontsgeek.com/itc-franklin-gothic-font","Desconocida"
"Souvenir","DuckDuckGo","https://www.cufonfonts.com/font/souvenir","Desconocida"
"Zapf Chancery","DuckDuckGo","https://fontsgeek.com/zapf-chancery-font","Desconocida"
"OCR-A","DuckDuckGo","https://fonts.adobe.com/fonts/ocr-a","Desconocida"
